,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,BallControl,Body Type,CAM,CB,CDM,CF,CM,Composure,Contract Valid Until,Crossing,Curve,Dribbling,FKAccuracy,Finishing,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,HeadingAccuracy,Interceptions,International Reputation,Jersey Number,Joined,Jumping,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Loaned From,LongPassing,LongShots,Marking,Penalties,Position,Positioning,Preferred Foot,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,Reactions,Real Face,Release Clause,ST,ShortPassing,ShotPower,Skill Moves,SlidingTackle,SprintSpeed,Stamina,StandingTackle,Strength,Vision,Volleys,Weak Foot,Work Rate
0,158023,L. Messi,31,https://cdn.sofifa.org/players/4/19/158023.png,Argentina,https://cdn.sofifa.org/flags/52.png,94,94,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€110.5M,€565K,2195,91,48,91,95,96,Messi,93+2,47+2,61+2,93+2,84+2,96,2021,77,93,97,94,95,6,11,15,14,8,70,22,5,10,"Jul 1, 2004",68,93+2,58+2,47+2,84+2,61+2,93+2,90+2,88+2,92+2,63+2,,87,94,33,75,RW,94,Left,93+2,58+2,47+2,84+2,61+2,93+2,90+2,88+2,92+2,63+2,95,Yes,€226.5M,88+2,90,85,4,26,86,72,28,59,94,86,4,Medium/ Medium
1,20801,Cristiano Ronaldo,33,https://cdn.sofifa.org/players/4/19/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,94,94,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€77M,€405K,2228,89,63,87,70,94,C. Ronaldo,88+3,53+3,61+3,90+3,81+3,95,2022,84,81,88,76,94,7,11,15,14,11,89,29,5,7,"Jul 10, 2018",95,88+3,61+3,53+3,81+3,61+3,90+3,88+3,91+3,89+3,65+3,,77,93,28,85,LW,95,Right,88+3,61+3,53+3,81+3,61+3,90+3,88+3,91+3,89+3,65+3,96,Yes,€127.1M,91+3,81,95,5,23,91,88,31,79,82,87,4,High/ Low
2,190871,Neymar Jr,26,https://cdn.sofifa.org/players/4/19/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,92,93,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€118.5M,€290K,2143,94,56,96,84,95,Neymar,89+3,47+3,60+3,89+3,81+3,94,2022,79,88,96,87,87,9,9,15,15,11,62,36,5,10,"Aug 3, 2017",61,89+3,60+3,47+3,81+3,60+3,89+3,88+3,84+3,89+3,65+3,,78,82,27,81,CAM,89,Right,89+3,60+3,47+3,81+3,60+3,89+3,88+3,84+3,89+3,65+3,94,Yes,€228.1M,84+3,84,80,5,33,90,81,24,49,87,84,5,High/ Medium
3,193080,De Gea,27,https://cdn.sofifa.org/players/4/19/193080.png,Spain,https://cdn.sofifa.org/flags/45.png,91,93,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€72M,€260K,1471,57,38,60,43,42,Lean,,,,,,68,2019,17,21,18,19,13,90,85,87,88,94,21,30,4,1,"Jul 1, 2011",67,,,,,,,,,,,,51,12,15,40,GK,12,Right,,,,,,,,,,,90,Yes,€138.6M,,50,31,1,13,58,43,21,64,68,13,3,Medium/ Medium
4,192985,K. De Bruyne,27,https://cdn.sofifa.org/players/4/19/192985.png,Belgium,https://cdn.sofifa.org/flags/7.png,91,92,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€102M,€355K,2281,78,76,79,77,91,Normal,88+3,66+3,77+3,87+3,87+3,88,2023,93,85,86,83,82,15,13,5,10,13,55,61,4,17,"Aug 30, 2015",63,88+3,73+3,66+3,87+3,77+3,87+3,88+3,82+3,87+3,77+3,,91,91,68,79,RCM,87,Right,88+3,73+3,66+3,87+3,77+3,87+3,88+3,82+3,87+3,77+3,91,Yes,€196.4M,82+3,92,91,4,51,76,90,58,75,94,82,5,High/ High
5,183277,E. Hazard,27,https://cdn.sofifa.org/players/4/19/183277.png,Belgium,https://cdn.sofifa.org/flags/7.png,91,91,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€93M,€340K,2140,93,54,95,94,94,Normal,89+3,49+3,63+3,88+3,82+3,91,2020,81,83,95,79,84,11,12,6,8,8,61,41,4,10,"Jul 1, 2012",56,89+3,60+3,49+3,82+3,63+3,88+3,89+3,83+3,89+3,66+3,,83,80,34,86,LW,87,Right,89+3,60+3,49+3,82+3,63+3,88+3,89+3,83+3,89+3,66+3,90,Yes,€172.1M,83+3,89,80,4,22,89,83,27,66,89,80,4,High/ Medium
6,177003,L. Modrić,32,https://cdn.sofifa.org/players/4/19/177003.png,Croatia,https://cdn.sofifa.org/flags/10.png,91,91,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€67M,€420K,2280,80,62,93,94,93,Lean,87+3,71+3,81+3,84+3,88+3,84,2020,86,85,90,78,72,13,9,7,14,9,55,83,4,10,"Aug 1, 2012",68,87+3,79+3,71+3,88+3,81+3,84+3,86+3,77+3,85+3,82+3,,88,82,60,82,RCM,79,Right,87+3,79+3,71+3,88+3,81+3,84+3,86+3,77+3,85+3,82+3,90,Yes,€137.4M,77+3,93,79,4,73,72,89,76,58,92,76,4,High/ High
7,176580,L. Suárez,31,https://cdn.sofifa.org/players/4/19/176580.png,Uruguay,https://cdn.sofifa.org/flags/60.png,91,91,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€80M,€455K,2346,86,87,82,83,90,Normal,85+5,63+5,68+5,87+5,79+5,85,2021,77,86,87,84,93,27,25,31,33,37,77,41,5,9,"Jul 11, 2014",69,85+5,66+5,63+5,79+5,68+5,87+5,84+5,87+5,86+5,69+5,,64,85,62,85,ST,92,Right,85+5,66+5,63+5,79+5,68+5,87+5,84+5,87+5,86+5,69+5,92,Yes,€164M,87+5,82,86,3,38,75,90,45,83,84,88,4,High/ Medium
8,155862,Sergio Ramos,32,https://cdn.sofifa.org/players/4/19/155862.png,Spain,https://cdn.sofifa.org/flags/45.png,91,91,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€51M,€380K,2201,76,88,78,66,84,Normal,71+3,87+3,84+3,71+3,75+3,82,2020,66,74,63,72,60,11,8,9,7,11,91,90,4,4,"Aug 1, 2005",93,71+3,84+3,87+3,75+3,84+3,71+3,72+3,73+3,70+3,81+3,,77,59,87,75,LCB,60,Right,71+3,84+3,87+3,75+3,84+3,71+3,72+3,73+3,70+3,81+3,85,Yes,€104.6M,73+3,78,79,3,91,75,84,92,83,63,66,3,High/ Medium
9,200389,J. Oblak,25,https://cdn.sofifa.org/players/4/19/200389.png,Slovenia,https://cdn.sofifa.org/flags/44.png,90,93,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€68M,€94K,1331,43,34,67,49,16,Normal,,,,,,70,2021,13,13,12,14,11,86,92,78,88,89,15,19,3,13,"Jul 16, 2014",76,,,,,,,,,,,,26,12,27,11,GK,11,Right,,,,,,,,,,,86,Yes,€144.5M,,29,22,1,18,60,41,12,78,70,13,3,Medium/ Medium
10,192119,T. Courtois,26,https://cdn.sofifa.org/players/4/19/192119.png,Belgium,https://cdn.sofifa.org/flags/7.png,90,91,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€62M,€250K,1316,46,23,61,45,23,Courtois,,,,,,66,2024,14,19,13,20,14,87,91,74,87,88,13,15,4,25,"Aug 9, 2018",68,,,,,,,,,,,,35,17,20,27,GK,13,Left,,,,,,,,,,,84,Yes,€131.8M,,33,36,1,16,52,38,18,70,44,12,3,Medium/ Medium
11,188545,R. Lewandowski,29,https://cdn.sofifa.org/players/4/19/188545.png,Poland,https://cdn.sofifa.org/flags/37.png,90,90,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€77M,€205K,2152,77,80,78,78,89,Normal,83+3,57+3,62+3,86+3,77+3,86,2021,62,77,85,86,91,15,6,12,8,10,85,39,4,9,"Jul 1, 2014",84,83+3,58+3,57+3,77+3,62+3,86+3,81+3,87+3,83+3,61+3,,65,84,34,88,ST,91,Right,83+3,58+3,57+3,77+3,62+3,86+3,81+3,87+3,83+3,61+3,90,Yes,€127.1M,87+3,83,88,4,19,78,78,42,84,77,89,4,High/ Medium
12,182521,T. Kroos,28,https://cdn.sofifa.org/players/4/19/182521.png,Germany,https://cdn.sofifa.org/flags/21.png,90,90,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€76.5M,€355K,2190,64,60,70,71,90,Normal,84+3,72+3,82+3,82+3,86+3,85,2022,88,86,81,84,76,10,11,13,7,10,54,82,4,8,"Jul 17, 2014",30,84+3,77+3,72+3,86+3,82+3,82+3,82+3,78+3,81+3,79+3,,93,92,72,73,LCM,79,Right,84+3,77+3,72+3,86+3,82+3,82+3,82+3,78+3,81+3,79+3,89,Yes,€156.8M,78+3,92,87,3,69,62,75,79,73,86,82,5,Medium/ Medium
13,182493,D. Godín,32,https://cdn.sofifa.org/players/4/19/182493.png,Uruguay,https://cdn.sofifa.org/flags/60.png,90,90,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€44M,€125K,1946,68,89,58,54,76,Lean,62+3,87+3,81+3,62+3,68+3,82,2019,55,49,53,51,42,6,8,15,5,15,92,88,3,2,"Aug 4, 2010",91,62+3,79+3,87+3,68+3,81+3,62+3,63+3,64+3,61+3,76+3,,70,43,90,50,LCB,48,Right,62+3,79+3,87+3,68+3,81+3,62+3,63+3,64+3,61+3,76+3,85,Yes,€90.2M,64+3,79,67,2,89,68,66,89,88,52,47,3,Medium/ High
14,167495,M. Neuer,32,https://cdn.sofifa.org/players/4/19/167495.png,Germany,https://cdn.sofifa.org/flags/21.png,90,90,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€44M,€135K,1478,54,29,51,35,48,Normal,,,,,,70,2021,15,14,30,11,13,91,88,91,88,88,25,30,5,1,"Jul 1, 2011",77,,,,,,,,,,,,59,16,17,47,GK,12,Right,,,,,,,,,,,84,Yes,€72.6M,,55,25,1,11,60,43,10,80,70,11,4,Medium/ Medium
15,215914,N. Kanté,27,https://cdn.sofifa.org/players/4/19/215914.png,France,https://cdn.sofifa.org/flags/18.png,89,90,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€63M,€225K,2189,82,90,82,92,80,Lean,79+3,83+3,87+3,77+3,82+3,85,2021,68,49,79,49,65,15,12,10,7,10,54,92,3,7,"Jul 16, 2016",77,79+3,84+3,83+3,82+3,87+3,77+3,79+3,72+3,77+3,85+3,,81,69,90,54,RCM,71,Right,79+3,84+3,83+3,82+3,87+3,77+3,79+3,72+3,77+3,85+3,93,Yes,€121.3M,72+3,86,71,2,85,78,96,91,76,79,56,3,Medium/ High
